worker_id,processing_mean_time,processing_total_time,local_consolidation_grounding,local_consolidation_sequence,local_consolidation_preassembly,local_consolidation_total
0,77.87099672508239,19467.7491812706,21.1174430847168,21.07510018348694,0.8496372699737549,43.04218053817749
1,79.14875226020813,19787.188065052032,21.373696327209476,0.1216983795166015,0.8178315162658691,22.313226222991943
2,70.96678950214385,17741.697375535965,24.333563327789307,0.1014955043792724,0.6154179573059082,25.050476789474487
3,78.33775896167755,19584.439740419388,21.16668128967285,19.31553721427917,0.9211430549621582,41.403361558914185
mean,76.58107436227797,19145.268590569496,21.997846007347107,10.153457820415497,0.8010074496269226,32.952311277389526
min,70.96678950214385,17741.697375535965,21.1174430847168,0.1014955043792724,0.6154179573059082,22.313226222991943
max,75.64536021892228,18911.340054730576,21.851112186908722,8.478130767742792,0.7700758675734202,31.17913043498993
